run_id,strategy,models_used,model_categories,mean_confidence,consensus_score,consensus_passed,disagreement,latency_ms,latency_beats,phi_efficiency,decision
ENS-000000,adaptive,5,"[""synthesizer"", ""specialist"", ""foundation"", ""sovereign""]",0.59814,0.788434,True,0.5347,1084.43,1.2422,0.487279,execute
ENS-000001,adaptive,7,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.644486,0.802031,True,0.5621,1474.87,1.6894,0.495683,execute
ENS-000002,committee,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.718013,0.732559,True,0.6044,2328.89,2.6677,0.452746,execute
ENS-000003,cascade,5,"[""sentinel"", ""synthesizer"", ""validator"", ""predictor""]",0.65398,0.702495,True,0.4487,970.5,1.1117,0.434166,execute
ENS-000004,adversarial,7,"[""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.664629,0.63092,True,0.4128,1900.64,2.1771,0.38993,execute
ENS-000005,committee,5,"[""sentinel"", ""specialist"", ""synthesizer"", ""predictor""]",0.55112,0.675237,True,0.4131,1235.78,1.4156,0.41732,execute
ENS-000006,hierarchical,3,"[""synthesizer"", ""foundation"", ""validator""]",0.694067,0.611553,False,0.311,617.66,0.7075,0.377961,escalate
ENS-000007,adaptive,6,"[""synthesizer"", ""specialist"", ""sentinel"", ""predictor""]",0.632233,0.766119,True,0.4826,1123.21,1.2866,0.473488,execute
ENS-000008,hierarchical,8,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.633138,0.670038,True,0.5136,1909.23,2.187,0.414106,execute
ENS-000009,adversarial,5,"[""sentinel"", ""validator"", ""sovereign"", ""predictor""]",0.68798,0.814123,True,0.5206,1223.69,1.4017,0.503156,execute
ENS-000010,committee,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.766729,0.704612,True,0.3242,1739.8,1.9929,0.435474,execute
ENS-000011,parallel,4,"[""sentinel"", ""synthesizer"", ""validator""]",0.631275,0.812405,True,0.4251,343.87,0.3939,0.502094,execute
ENS-000012,hierarchical,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.534887,0.659059,True,0.57,1940.58,2.2229,0.407321,execute
ENS-000013,committee,7,"[""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.600786,0.754042,True,0.4737,1128.37,1.2925,0.466024,execute
ENS-000014,cascade,3,"[""sentinel"", ""foundation""]",0.5484,0.756234,True,0.2615,587.57,0.673,0.467379,execute
ENS-000015,parallel,8,"[""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.535112,0.665201,True,0.3616,372.56,0.4268,0.411117,execute
ENS-000016,adaptive,6,"[""synthesizer"", ""foundation"", ""validator""]",0.750617,0.635308,True,0.4268,1225.22,1.4035,0.392642,execute
ENS-000017,adversarial,6,"[""specialist"", ""synthesizer"", ""foundation"", ""validator""]",0.646783,0.638859,True,0.6557,1282.85,1.4695,0.394837,execute
ENS-000018,parallel,8,"[""foundation"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.63475,0.76784,True,0.5771,297.8,0.3411,0.474551,execute
ENS-000019,committee,7,"[""specialist"", ""foundation"", ""validator"", ""sovereign""]",0.6286,0.736149,True,0.5534,2021.69,2.3158,0.454965,execute
ENS-000020,tournament,6,"[""sentinel"", ""synthesizer"", ""sovereign"", ""predictor""]",0.744183,0.688583,True,0.3814,1316.84,1.5084,0.425568,execute
ENS-000021,adaptive,3,"[""synthesizer"", ""validator"", ""predictor""]",0.7691,0.5714,False,0.3185,298.64,0.3421,0.353145,escalate
ENS-000022,adaptive,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.612829,0.782223,True,0.525,1370.76,1.5702,0.48344,execute
ENS-000023,hierarchical,5,"[""specialist"", ""foundation"", ""sovereign"", ""predictor""]",0.76876,0.545034,False,0.2637,859.47,0.9845,0.336849,escalate
ENS-000024,parallel,4,"[""specialist"", ""synthesizer"", ""foundation"", ""predictor""]",0.6436,0.714428,True,0.529,329.47,0.3774,0.441541,execute
ENS-000025,tournament,6,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""sovereign""]",0.6983,0.595573,False,0.4848,1063.11,1.2178,0.368084,escalate
ENS-000026,adversarial,3,"[""synthesizer"", ""foundation"", ""predictor""]",0.8443,0.486885,False,0.1648,664.17,0.7608,0.300911,escalate
ENS-000027,parallel,3,"[""sentinel"", ""synthesizer"", ""predictor""]",0.556067,0.482288,False,0.2399,369.29,0.423,0.29807,escalate
ENS-000028,cascade,3,"[""specialist"", ""validator"", ""predictor""]",0.550767,0.63831,True,0.5467,594.16,0.6806,0.394497,execute
ENS-000029,cascade,8,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.692075,0.621978,True,0.5732,2295.9,2.6299,0.384403,execute
ENS-000030,cascade,6,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.65475,0.611572,False,0.4399,1196.82,1.3709,0.377972,escalate
ENS-000031,tournament,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.68365,0.772701,True,0.5099,1437.15,1.6462,0.477555,execute
ENS-000032,committee,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer""]",0.664,0.758164,True,0.3824,1381.67,1.5827,0.468571,execute
ENS-000033,adversarial,5,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.80218,0.655908,True,0.3426,1428.82,1.6367,0.405373,execute
ENS-000034,adversarial,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel""]",0.707457,0.764187,True,0.5652,1616.84,1.8521,0.472294,execute
ENS-000035,adversarial,3,"[""specialist"", ""synthesizer""]",0.6237,0.80514,True,0.459,435.03,0.4983,0.497604,execute
